account_id,account_name,plan_tier,arr_amount,risk_score,total_features_used,high_priority_ratio,downgrade_flag,days_since_activity
A-65aeb5,Company_120,Pro,5292,11,27.0,0.5,True,0
A-65aeb5,Company_120,Pro,5292,11,27.0,0.5,True,0
A-855a48,Company_389,Enterprise,95520,11,32.0,0.6,True,0
A-69b156,Company_396,Pro,0,10,9.0,0.5714285714285714,True,0
A-22f2df,Company_106,Enterprise,11940,10,24.0,0.6,True,0
A-69b156,Company_396,Enterprise,16716,10,18.0,0.5714285714285714,True,0
A-e1462e,Company_217,Enterprise,35820,10,26.0,0.5,True,0
A-e1462e,Company_217,Enterprise,35820,10,26.0,0.5,True,0
A-d62e02,Company_420,Enterprise,23880,10,28.0,1.0,True,0
A-396e5f,Company_30,Pro,5880,10,20.0,0.6,True,0
A-4a4c2d,Company_473,Basic,12312,10,21.0,0.4,True,0
A-cc1d8d,Company_440,Pro,9408,10,28.0,0.4,True,0
A-cc1d8d,Company_440,Pro,9408,10,28.0,0.4,True,0
A-aa9511,Company_203,Basic,5244,10,25.0,0.5,True,0
A-20736a,Company_271,Pro,35868,10,31.0,0.5,True,0
A-1f559b,Company_357,Basic,2964,10,27.0,0.4,True,0
A-8ed5dd,Company_222,Basic,3420,10,0.0,0.5,True,0
A-8ed5dd,Company_222,Basic,3420,10,0.0,0.5,True,0
A-87aa7b,Company_433,Pro,14112,9,23.0,0.3333333333333333,True,0
A-c1dfe1,Company_53,Enterprise,62088,9,16.0,0.3333333333333333,True,0
A-118d55,Company_65,Enterprise,38208,9,23.0,0.2,True,0
A-c1dfe1,Company_53,Enterprise,62088,9,16.0,0.3333333333333333,True,0
A-118d55,Company_65,Enterprise,38208,9,23.0,0.2,True,0
A-87aa7b,Company_433,Pro,14112,9,23.0,0.3333333333333333,True,0
A-e4bf56,Company_272,Pro,20580,9,32.0,0.125,True,0
A-87aa7b,Company_433,Pro,14112,9,23.0,0.3333333333333333,True,0
A-c7ffc2,Company_392,Enterprise,71640,8,21.0,0.5,False,0
A-00bed1,Company_306,Enterprise,66864,8,16.0,0.5,False,0
A-50f3f7,Company_140,Pro,18228,8,33.0,0.16666666666666666,True,0
A-c16b88,Company_431,Enterprise,54924,8,28.0,0.6666666666666666,False,0
A-c7ffc2,Company_392,Enterprise,71640,8,21.0,0.5,False,0
A-798a3f,Company_463,Enterprise,31044,8,29.0,0.4,False,0
A-b3fe05,Company_238,Basic,0,8,32.0,0.5,False,0
A-bc4d48,Company_343,Basic,7980,8,21.0,0.5,False,0
A-82d8a6,Company_444,Pro,24696,8,32.0,0.4,False,0
A-692f18,Company_195,Basic,2280,8,24.0,0.5,False,0
A-7641d3,Company_429,Pro,35868,8,12.0,0.2,True,0
A-7641d3,Company_429,Pro,35868,8,12.0,0.2,True,0
A-3f9cc0,Company_359,Basic,5016,8,6.0,0.2,True,0
A-3f9cc0,Company_359,Basic,5016,8,6.0,0.2,True,0
A-3f9cc0,Company_359,Basic,5016,8,6.0,0.2,True,0
A-726cfa,Company_82,Basic,3876,8,29.0,0.6666666666666666,False,0
A-51ec1b,Company_247,Enterprise,16716,8,32.0,0.3333333333333333,True,0
A-df1e44,Company_323,Basic,2736,8,0.0,0.5,False,0
A-df1e44,Company_323,Basic,2736,8,0.0,0.5,False,0
A-1d5444,Company_427,Enterprise,97908,8,21.0,1.0,False,0
A-d82ef9,Company_355,Pro,15288,8,13.0,0.2,True,0
A-3d957b,Company_311,Pro,8232,8,17.0,0.6666666666666666,False,0
A-e5d6ab,Company_7,Enterprise,31044,8,33.0,0.6666666666666666,False,0
A-1b9609,Company_5,Basic,4104,8,30.0,0.5,False,0
A-1b9609,Company_5,Basic,4104,8,30.0,0.5,False,0
A-ac85cd,Company_485,Enterprise,126564,8,10.0,0.0,True,0
A-ac85cd,Company_485,Enterprise,126564,8,10.0,0.0,True,0
A-ffc04f,Company_307,Enterprise,35820,8,9.0,0.2857142857142857,True,0
A-1ac5e0,Company_126,Basic,0,8,19.0,0.5714285714285714,False,0
A-474ad4,Company_261,Basic,2280,8,33.0,0.0,True,0
A-6c093d,Company_12,Basic,3420,8,28.0,0.6666666666666666,False,0
A-1d5444,Company_427,Enterprise,57312,8,23.0,1.0,False,0
A-854864,Company_38,Pro,53508,8,24.0,0.4,False,0
A-b07b56,Company_292,Pro,14700,8,33.0,0.5,False,0
A-e5d6ab,Company_7,Enterprise,31044,8,33.0,0.6666666666666666,False,0
A-18793f,Company_488,Pro,87024,8,27.0,0.4,False,0
A-7cfe77,Company_367,Pro,40572,8,26.0,0.2857142857142857,True,0
A-7cfe77,Company_367,Pro,40572,8,26.0,0.2857142857142857,True,0
A-fda07f,Company_230,Enterprise,0,8,48.0,0.4,True,0
A-9f2731,Company_24,Pro,7644,8,30.0,0.0,True,0
A-9f2731,Company_24,Pro,7644,8,30.0,0.0,True,0
A-e1b9cd,Company_484,Pro,58800,8,54.0,1.0,True,0
A-779e4e,Company_193,Pro,12348,8,24.0,0.0,True,0
A-526d93,Company_66,Enterprise,117012,8,19.0,0.4,False,0
A-09540c,Company_239,Basic,15276,8,41.0,0.5,True,0
A-1f7acb,Company_281,Basic,0,8,73.0,0.42857142857142855,True,0
A-328bd0,Company_237,Enterprise,42984,8,31.0,0.4,False,0
A-526d93,Company_66,Enterprise,117012,8,19.0,0.4,False,0
A-1d5444,Company_427,Enterprise,57312,8,8.0,1.0,False,0
A-526d93,Company_66,Enterprise,117012,8,19.0,0.4,False,0
A-e19ff6,Company_411,Pro,15288,8,20.0,0.6666666666666666,False,0
A-d82ef9,Company_355,Pro,0,8,28.0,0.2,True,0
A-d535f6,Company_421,Pro,27048,8,21.0,0.0,True,0
A-d535f6,Company_421,Pro,27048,8,21.0,0.0,True,0
A-5f7781,Company_483,Pro,0,8,32.0,1.0,False,0
A-e1b9cd,Company_484,Pro,23520,8,31.0,1.0,False,0
A-016043,Company_405,Pro,15876,8,13.0,0.6666666666666666,False,0
A-118d55,Company_65,Pro,9996,8,31.0,0.2,True,0
A-118d55,Company_65,Pro,9996,8,31.0,0.2,True,0
A-9f0b68,Company_489,Enterprise,23880,8,8.0,0.3333333333333333,True,0
A-9f0b68,Company_489,Enterprise,23880,8,8.0,0.3333333333333333,True,0
A-e19ff6,Company_411,Pro,15288,8,20.0,0.6666666666666666,False,0
A-e19ff6,Company_411,Pro,15288,8,20.0,0.6666666666666666,False,0
A-328bd0,Company_237,Basic,4104,8,13.0,0.4,False,0
A-bf7919,Company_426,Basic,2736,8,20.0,0.5,False,0
A-f25509,Company_92,Basic,12996,8,27.0,0.3333333333333333,True,0
A-f25509,Company_92,Basic,12996,8,27.0,0.3333333333333333,True,0
A-f25509,Company_92,Basic,12996,8,27.0,0.3333333333333333,True,0
A-4e0e85,Company_409,Pro,3528,8,14.0,0.5,False,0
A-4e0e85,Company_409,Pro,3528,8,14.0,0.5,False,0
A-e08cd3,Company_475,Basic,15276,8,30.0,0.375,True,0
A-e08cd3,Company_475,Basic,15276,8,30.0,0.375,True,0
A-c608c8,Company_199,Enterprise,7164,8,18.0,0.0,True,0
A-098560,Company_349,Pro,7056,8,22.0,0.5,False,0
A-098560,Company_349,Pro,7056,8,22.0,0.5,False,0
A-d62e02,Company_420,Enterprise,14328,8,33.0,1.0,False,0
A-712533,Company_498,Pro,10584,8,12.0,0.4,False,0
A-075038,Company_397,Pro,29400,8,32.0,1.0,False,0
A-2e3bad,Company_108,Basic,13908,8,33.0,0.4,False,0
A-3d957b,Company_311,Enterprise,33432,8,22.0,0.6666666666666666,False,0
A-3a7284,Company_93,Enterprise,78804,8,32.0,0.3333333333333333,True,0
A-bf7919,Company_426,Basic,2736,8,20.0,0.5,False,0
A-1e1b80,Company_416,Enterprise,119400,8,13.0,0.5,False,0
